,ID,Name,Photo,Flag,Club Logo
38,227796, C. Pulisic,https://cdn.sofifa.com/players/227/796/20_60.png,https://cdn.sofifa.com/flags/us.png,https://cdn.sofifa.com/teams/5/light_30.png
39,246669, B. Saka,https://cdn.sofifa.com/players/246/669/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1/light_30.png
40,241461, Ferrán Torres,https://cdn.sofifa.com/players/241/461/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/461/light_30.png
41,155862, Sergio Ramos,https://cdn.sofifa.com/players/155/862/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/243/light_30.png
42,236772, D. Szoboszlai,https://cdn.sofifa.com/players/236/772/20_60.png,https://cdn.sofifa.com/flags/hu.png,https://cdn.sofifa.com/teams/191/light_30.png
43,212198, Bruno Fernandes,https://cdn.sofifa.com/players/212/198/20_60.png,https://cdn.sofifa.com/flags/pt.png,https://cdn.sofifa.com/teams/11/light_30.png
44,242444, João Félix,https://cdn.sofifa.com/players/242/444/20_60.png,https://cdn.sofifa.com/flags/pt.png,https://cdn.sofifa.com/teams/240/light_30.png
45,243812, Rodrygo,https://cdn.sofifa.com/players/243/812/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/243/light_30.png
46,198710, J. Rodríguez,https://cdn.sofifa.com/players/198/710/20_60.png,https://cdn.sofifa.com/flags/co.png,https://cdn.sofifa.com/teams/243/light_30.png
47,232756, F. Tomori,https://cdn.sofifa.com/players/232/756/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/5/light_30.png
48,183277, E. Hazard,https://cdn.sofifa.com/players/183/277/20_60.png,https://cdn.sofifa.com/flags/be.png,https://cdn.sofifa.com/teams/243/light_30.png
49,190871, Neymar Jr,https://cdn.sofifa.com/players/190/871/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/73/light_30.png
50,238074, R. James,https://cdn.sofifa.com/players/238/074/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/5/light_30.png
51,221363, D. van de Beek,https://cdn.sofifa.com/players/221/363/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/245/light_30.png
52,239053, F. Valverde,https://cdn.sofifa.com/players/239/053/20_60.png,https://cdn.sofifa.com/flags/uy.png,https://cdn.sofifa.com/teams/243/light_30.png
53,243630, J. David,https://cdn.sofifa.com/players/243/630/20_60.png,https://cdn.sofifa.com/flags/ca.png,https://cdn.sofifa.com/teams/674/light_30.png
